CTYNAME;pop2022;GrowthRate;popDensity
Los Angeles County;9934710;1.1347;2448.1179
San Diego County;3351737;8.0086;796.7671
Orange County;3174849;5.2958;4014.7427
Riverside County;2544817;15.5907;353.1334
San Bernardino County;2220081;8.7823;110.6882
Santa Clara County;1914397;7.1867;1483.7795
Alameda County;1685048;11.3723;2279.8876
Sacramento County;1591994;12.0032;1649.8369
Contra Costa County;1162547;10.4516;1608.521
Fresno County;1020554;9.4969;171.2677
Kern County;919534;9.3387;113.0763
San Francisco County;884108;9.7582;18853.2062
Ventura County;839598;1.7575;455.5573
San Joaquin County;791119;15.1343;568.5875
San Mateo County;760249;5.6343;1695.1902
Stanislaus County;558262;8.3699;373.5317
Sonoma County;481415;-0.689;305.4978
Tulare County;471013;6.3309;97.6342
Solano County;453397;9.5249;551.7309
Santa Barbara County;448656;5.7575;164.0352
Monterey County;434394;4.3281;132.4127
Placer County;416326;18.9431;295.8784
Merced County;288267;12.288;148.9778
San Luis Obispo County;282382;4.6627;85.5544
Santa Cruz County;271329;3.1093;609.5046
Marin County;256318;1.3499;492.4528
Yolo County;221646;10.2316;218.4207
El Dorado County;199134;9.9362;116.5958
Butte County;185727;-15.5591;113.4929
Shasta County;181193;2.2107;47.9933
Imperial County;180291;3.1909;43.1668
Madera County;158662;5.0839;74.2418
Kings County;157614;3.4416;113.4387
Napa County;134609;-1.5721;179.8702
Humboldt County;133500;-1.1177;37.4162
Nevada County;100496;1.7269;104.926
Sutter County;98840;4.3155;164.0741
Mendocino County;84793;-3.4237;24.1827
Yuba County;82001;13.3425;129.7396
Tehama County;68282;7.4309;23.1487
San Benito County;66831;20.3815;48.1245
Lake County;64593;-0.2194;51.4076
Tuolumne County;54751;-0.7954;24.6526
Calaveras County;46526;2.3269;45.6132
Siskiyou County;43506;-3.1866;6.93
Amador County;40793;7.673;68.6084
Lassen County;30438;-12.6123;6.7027
Glenn County;29671;5.4894;22.5816
Del Norte County;28028;-1.8834;27.8528
Colusa County;21934;2.3184;19.061
Plumas County;19005;-4.5646;7.444
Inyo County;18318;-1.0426;1.7992
Mariposa County;16597;-9.1919;11.4555
Mono County;14567;2.1744;4.7777
Trinity County;11439;-16.8375;3.598
Modoc County;8964;-7.5304;2.2894
Sierra County;3029;-5.9317;3.1778
Alpine County;1249;7.5797;1.6917
